"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1016-10","USD","1016-10-0","Center Norte",0,53755
"1016-10","USD","1016-10-1","Cemiterio Do Horto",1,53756
"1017-10","USD","1017-10-0","Vila Iorio",0,53033
"1017-10","USD","1017-10-1","Perus",1,53034
"1018-10","USD","1018-10-0","Metrô Santana",0,52197
"1018-10","USD","1018-10-1","Vila Rosa",1,52198
"1021-10","USD","1021-10-0","Terminal Pirituba",0,54768
"1021-10","USD","1021-10-1","Cohab Brasilândia",1,54806
"106A-10","USD","106A-10-0","Itaim Bibi",0,52412
"106A-10","USD","106A-10-1","Metrô Santana",1,52413
"107T-10","USD","107T-10-0","Terminal Pinheiros",0,55222
"107T-10","USD","107T-10-1","Metrô Tucuruvi",1,55223
"1156-10","USD","1156-10-0","Pca. Do Correio",0,52707
"1156-10","USD","1156-10-1","Vila Sabrina",1,52708
"1177-10","USD","1177-10-0","Estação Da Luz",0,47069
"1177-10","USD","1177-10-1","Term. A.e. Carvalho",1,47070
"1177-51","USD","1177-51-0","Term. Amaral Gurgel",0,44456
"1177-51","USD","1177-51-1","Term. A. E. Carvalho",1,44457
"1178-10","USD","1178-10-0","Pca. Do Correio",0,55351
"1178-10","USD","1178-10-1","Sao Miguel",1,55352
"118C-10","USD","118C-10-0","Metrô Santa Cecília",0,52714
"118C-10","USD","118C-10-1","Jd. Pery Alto",1,52715
"118Y-10","USD","118Y-10-0","Lapa",0,52720
"118Y-10","USD","118Y-10-1","Lauzane Paulista",1,52722
"119C-10","USD","119C-10-0","Term.princesa Isabel",0,55216
"119C-10","USD","119C-10-1","Vila Sabrina",1,55217
"119P-10","USD","119P-10-0","Term.bandeira",0,52982
"1206-10","USD","1206-10-0","Correio",0,53605
"121G-10","USD","121G-10-0","Metrô Tucuruvi",0,52421
"128Y-10","USD","128Y-10-0","Lapa",0,52844
"128Y-10","USD","128Y-10-1","Jd. Pery Alto",1,52845
"138Y-10","USD","138Y-10-0","Metrô Barra Funda",0,52850
"138Y-10","USD","138Y-10-1","Casa Verde Alta",1,52851
